"","value","method"
"Sensitivity",0.988888888888889,"kmeans"
"Specificity",0,"kmeans"
"Pos Pred Value",0.898989898989899,"kmeans"
"Neg Pred Value",0,"kmeans"
"Precision",0.898989898989899,"kmeans"
"Recall",0.988888888888889,"kmeans"
"F1",0.941798941798942,"kmeans"
"Prevalence",0.9,"kmeans"
"Detection Rate",0.89,"kmeans"
"Detection Prevalence",0.99,"kmeans"
"Balanced Accuracy",0.494444444444444,"kmeans"
"Sensitivity1",1,"dbscan"
"Specificity1",0.0833333333333333,"dbscan"
"Pos Pred Value1",0.888888888888889,"dbscan"
"Neg Pred Value1",1,"dbscan"
"Precision1",0.888888888888889,"dbscan"
"Recall1",1,"dbscan"
"F11",0.941176470588235,"dbscan"
"Prevalence1",0.88,"dbscan"
"Detection Rate1",0.88,"dbscan"
"Detection Prevalence1",0.99,"dbscan"
"Balanced Accuracy1",0.541666666666667,"dbscan"
"Sensitivity2",1,"autoencode"
"Specificity2",0.0294117647058824,"autoencode"
"Pos Pred Value2",0.666666666666667,"autoencode"
"Neg Pred Value2",1,"autoencode"
"Precision2",0.666666666666667,"autoencode"
"Recall2",1,"autoencode"
"F12",0.8,"autoencode"
"Prevalence2",0.66,"autoencode"
"Detection Rate2",0.66,"autoencode"
"Detection Prevalence2",0.99,"autoencode"
"Balanced Accuracy2",0.514705882352941,"autoencode"
"Sensitivity3",0.99,"kmeans_filter_method1"
"Specificity3",NA,"kmeans_filter_method1"
"Pos Pred Value3",NA,"kmeans_filter_method1"
"Neg Pred Value3",NA,"kmeans_filter_method1"
"Precision3",1,"kmeans_filter_method1"
"Recall3",0.99,"kmeans_filter_method1"
"F13",0.994974874371859,"kmeans_filter_method1"
"Prevalence3",1,"kmeans_filter_method1"
"Detection Rate3",0.99,"kmeans_filter_method1"
"Detection Prevalence3",0.99,"kmeans_filter_method1"
"Balanced Accuracy3",NA,"kmeans_filter_method1"
"Sensitivity4",0.99,"kmeans_filter_method2"
"Specificity4",NA,"kmeans_filter_method2"
"Pos Pred Value4",NA,"kmeans_filter_method2"
"Neg Pred Value4",NA,"kmeans_filter_method2"
"Precision4",1,"kmeans_filter_method2"
"Recall4",0.99,"kmeans_filter_method2"
"F14",0.994974874371859,"kmeans_filter_method2"
"Prevalence4",1,"kmeans_filter_method2"
"Detection Rate4",0.99,"kmeans_filter_method2"
"Detection Prevalence4",0.99,"kmeans_filter_method2"
"Balanced Accuracy4",NA,"kmeans_filter_method2"
"Sensitivity5",0.99,"kmeans_filter_method3"
"Specificity5",NA,"kmeans_filter_method3"
"Pos Pred Value5",NA,"kmeans_filter_method3"
"Neg Pred Value5",NA,"kmeans_filter_method3"
"Precision5",1,"kmeans_filter_method3"
"Recall5",0.99,"kmeans_filter_method3"
"F15",0.994974874371859,"kmeans_filter_method3"
"Prevalence5",1,"kmeans_filter_method3"
"Detection Rate5",0.99,"kmeans_filter_method3"
"Detection Prevalence5",0.99,"kmeans_filter_method3"
"Balanced Accuracy5",NA,"kmeans_filter_method3"
"Sensitivity6",1,"dbscan_filter_method1"
"Specificity6",1,"dbscan_filter_method1"
"Pos Pred Value6",1,"dbscan_filter_method1"
"Neg Pred Value6",1,"dbscan_filter_method1"
"Precision6",1,"dbscan_filter_method1"
"Recall6",1,"dbscan_filter_method1"
"F16",1,"dbscan_filter_method1"
"Prevalence6",0.99,"dbscan_filter_method1"
"Detection Rate6",0.99,"dbscan_filter_method1"
"Detection Prevalence6",0.99,"dbscan_filter_method1"
"Balanced Accuracy6",1,"dbscan_filter_method1"
"Sensitivity7",1,"dbscan_filter_method2"
"Specificity7",1,"dbscan_filter_method2"
"Pos Pred Value7",1,"dbscan_filter_method2"
"Neg Pred Value7",1,"dbscan_filter_method2"
"Precision7",1,"dbscan_filter_method2"
