"","value","method"
"Sensitivity",1,"kmeans"
"Specificity",0.45,"kmeans"
"Pos Pred Value",0.879120879120879,"kmeans"
"Neg Pred Value",1,"kmeans"
"Precision",0.879120879120879,"kmeans"
"Recall",1,"kmeans"
"F1",0.935672514619883,"kmeans"
"Prevalence",0.8,"kmeans"
"Detection Rate",0.8,"kmeans"
"Detection Prevalence",0.91,"kmeans"
"Balanced Accuracy",0.725,"kmeans"
"Sensitivity1",1,"dbscan"
"Specificity1",0.346153846153846,"dbscan"
"Pos Pred Value1",0.813186813186813,"dbscan"
"Neg Pred Value1",1,"dbscan"
"Precision1",0.813186813186813,"dbscan"
"Recall1",1,"dbscan"
"F11",0.896969696969697,"dbscan"
"Prevalence1",0.74,"dbscan"
"Detection Rate1",0.74,"dbscan"
"Detection Prevalence1",0.91,"dbscan"
"Balanced Accuracy1",0.673076923076923,"dbscan"
"Sensitivity2",1,"autoencoder"
"Specificity2",0.128571428571429,"autoencoder"
"Pos Pred Value2",0.32967032967033,"autoencoder"
"Neg Pred Value2",1,"autoencoder"
"Precision2",0.32967032967033,"autoencoder"
"Recall2",1,"autoencoder"
"F12",0.495867768595041,"autoencoder"
"Prevalence2",0.3,"autoencoder"
"Detection Rate2",0.3,"autoencoder"
"Detection Prevalence2",0.91,"autoencoder"
"Balanced Accuracy2",0.564285714285714,"autoencoder"
"Sensitivity3",1,"kmeans_filter_method1"
"Specificity3",0.45,"kmeans_filter_method1"
"Pos Pred Value3",0.879120879120879,"kmeans_filter_method1"
"Neg Pred Value3",1,"kmeans_filter_method1"
"Precision3",0.879120879120879,"kmeans_filter_method1"
"Recall3",1,"kmeans_filter_method1"
"F13",0.935672514619883,"kmeans_filter_method1"
"Prevalence3",0.8,"kmeans_filter_method1"
"Detection Rate3",0.8,"kmeans_filter_method1"
"Detection Prevalence3",0.91,"kmeans_filter_method1"
"Balanced Accuracy3",0.725,"kmeans_filter_method1"
"Sensitivity4",0.905263157894737,"kmeans_filter_method2"
"Specificity4",0,"kmeans_filter_method2"
"Pos Pred Value4",0.945054945054945,"kmeans_filter_method2"
"Neg Pred Value4",0,"kmeans_filter_method2"
"Precision4",0.945054945054945,"kmeans_filter_method2"
"Recall4",0.905263157894737,"kmeans_filter_method2"
"F14",0.924731182795699,"kmeans_filter_method2"
"Prevalence4",0.95,"kmeans_filter_method2"
"Detection Rate4",0.86,"kmeans_filter_method2"
"Detection Prevalence4",0.91,"kmeans_filter_method2"
"Balanced Accuracy4",0.452631578947368,"kmeans_filter_method2"
"Sensitivity5",1,"kmeans_filter_method3"
"Specificity5",0.692307692307692,"kmeans_filter_method3"
"Pos Pred Value5",0.956043956043956,"kmeans_filter_method3"
"Neg Pred Value5",1,"kmeans_filter_method3"
"Precision5",0.956043956043956,"kmeans_filter_method3"
"Recall5",1,"kmeans_filter_method3"
"F15",0.97752808988764,"kmeans_filter_method3"
"Prevalence5",0.87,"kmeans_filter_method3"
"Detection Rate5",0.87,"kmeans_filter_method3"
"Detection Prevalence5",0.91,"kmeans_filter_method3"
"Balanced Accuracy5",0.846153846153846,"kmeans_filter_method3"
"Sensitivity6",1,"dbscan_filter_method1"
"Specificity6",0.346153846153846,"dbscan_filter_method1"
"Pos Pred Value6",0.813186813186813,"dbscan_filter_method1"
"Neg Pred Value6",1,"dbscan_filter_method1"
"Precision6",0.813186813186813,"dbscan_filter_method1"
"Recall6",1,"dbscan_filter_method1"
"F16",0.896969696969697,"dbscan_filter_method1"
"Prevalence6",0.74,"dbscan_filter_method1"
"Detection Rate6",0.74,"dbscan_filter_method1"
"Detection Prevalence6",0.91,"dbscan_filter_method1"
"Balanced Accuracy6",0.673076923076923,"dbscan_filter_method1"
"Sensitivity7",0.988235294117647,"dbscan_filter_method2"
"Specificity7",0.533333333333333,"dbscan_filter_method2"
"Pos Pred Value7",0.923076923076923,"dbscan_filter_method2"
"Neg Pred Value7",0.888888888888889,"dbscan_filter_method2"
"Precision7",0.923076923076923,"dbscan_filter_method2"
